id,course_name,instructor,course_description,course_duration,level,discount_price,original_price
1009,Kotlin for Android & Java Developers: Clean Code on Android,Peter Sommerhoff,"Become a professional Kotlin developer and write cleaner code in your Android apps than in Java, avoid boilerplate code",9,Intermediate,1214.955,5849.955
1505,Complete Time Series Analysis With Python,Minerva Singh,"Python Time Series: How To Use Data Science, Statistics & Machine Learning For Modelling Time Series Data in Python",4,All Levels,1034.955,5399.955
3807,Test Automation from scratch. Selenium IDE (SideeX).,IT Room,All you need to know to start test automation from scratch using Selenium IDE (SideeX) tool.,44,Beginner,899.955,1034.955
3478,Complete SAS Bootcamp,Alan H Yue,"A gentle and complete course on SAS programming, learn data analysis and visualization with SAS SQL and SAS Maro.",7,All Levels,1214.955,5849.955
3848,C# in Depth: A Comprehensive Course (Beginner-To-Advanced),"TELCOMA Global 70,000+ Students!","The most detailed course on C# for Beginners and Advanced Level i.e  Lambda Expressions, LINQ, Extension Methods & OOP",8,All Levels,1034.955,5399.955
2345,Full introduction to Drupal 8 theming in easy steps,Nikolay Borisov,Learn all about the themes in Drupal 8,6,All Levels,1034.955,2159.955
2353,Database Management Systems - MySQL,DATAhill Solutions Srinivas Reddy,Database Management Systems - MySQL,4,All Levels,1034.955,5399.955
1769,iOS 13 - How to Make Amazing iPhone Apps: Xcode 11 & Swift 5,Nick Walter,"Learn SwiftUI, Dark Mode, Sign in with Apple, Swift Package Manager and SF Symbols on the new Xcode 11 and Swift 5.1",12,Beginner,1439.955,6299.955
2457,Reactive Programming in iOS with RxSwift,Scott Gardner,Learn how to use Reactive Extensions for Swift and Cocoa Touch,3,Intermediate,2339.955,0
2083,Microsoft Azure Data Lake Storage Service (Gen1 & Gen2),"Eshant Garg | | LearnCloud.Info | 100,000+ Enrollments","How to ingest, process and export data in Azure Data Lake using Databricks and HDInsight,",6,Beginner,1034.955,1214.955
2361,Complete JAVA Bootcamp: Go from zero to hero with Spring,Chandan Kumar,Learn full stack java web development,37,All Levels,899.955,1034.955
4492,Git Essentials — The step-by-step guide to Git mastery,Kalob Taulien,Learn how to use Git and GitHub like a pro by mastering the daily Git workflow that every developer uses.,3,Beginner,1214.955,5849.955
4610,Practical Data Science: Reducing High Dimensional Data in R,Manuel Amunategui,"In this R course, we'll see how PCA can reduce a 5000+ variable data set into 10 variables and barely lose accuracy!",2,All Levels,1034.955,0
1013,Advanced Selenium WebDriver with Java and TestNG,Dmitry Shyshkin,Real-world example of Advanced Selenium WebDriver test automation framework with Java and TestNG | Selenium tutorial,4,Intermediate,1214.955,3239.955
3795,Salesforce Change and Release Management - A complete guide,Archana Rajendran,Become an expert in handling Salesforce metadata changes and deployment across orgs,3,All Levels,1034.955,3239.955
1966,Complete Course on Product A/B Testing with Interview Guide,Preeti Semwal,"AB Testing, Multivariate Testing, Multi-armed Bandit, Mock Interview Questions, R Coding, Statistics, Hypothesis Testing",2,All Levels,1214.955,3059.955
872,The Complete Guide To Build Rest Api's with Asp.Net and C#,Asfend Yar Hamid,"Build REST Api's With Asp.Net , Entity Framework and C#",4,All Levels,1214.955,6299.955
4408,C# Basics for Absolute Beginners in C# and .NET,Praveenkumar Bouna,A guide to learning the fundamentals of C# .NET programming for beginners in C# for starting a C# .NET career,2,Beginner,1034.955,3239.955
2492,Digital Signal Processing with MATLAB (Codes Included),Hossein Tootoonchy,Practical Guide to the Digital Signal Processing with multiple solved projects and downlodable source codes,2,All Levels,1214.955,3239.955
1166,"The Complete Flutter App Development Course for Android, iOS",Smartherd Developers,A Complete Guide to the Flutter Framework for building native iOS and Android apps with single code base,4,All Levels,1034.955,5399.955
1492,Artificial Neural Networks (ANN) with Keras in Python and R,Start-Tech Academy,Understand Deep Learning and build Neural Networks using TensorFlow 2.0 and Keras in Python and R,8,All Levels,899.955,1034.955
2871,Introduction To Alteryx Designer Core Profession Certificate,Step2C Education,Learn The Basics Of Alteryx And Start your Alteryx Profession certification Career.,44,Beginner,899.955,1034.955
2061,Python & Django Framework Course: The Complete Guide,Fatah Gabrial,Get started with Python 3 & Django 3 Framework. Build Dynamic Web Applications from Scratch,5,All Levels,1214.955,6299.955
4912,Build Real World Vehicle Selling App with Xamarin Forms,Asfend Yar Hamid,Learn Xamarin Forms Real World Application From Beginning to End,5,All Levels,1214.955,6299.955
573,"Mastering AWS Glue, QuickSight, Athena & Redshift Spectrum",Siddharth Mehta,"Master serverless analytics with AWS Glue, QuickSight, Athena, & Redshift Spectrum (includes preview features with labs)",18,All Levels,1214.955,3239.955
3463,Learn RPA Automation Anywhere 11 From Scratch,Akbar Shaikh,RPA Automation Anywhere Beginner Guide,5,Beginner,899.955,1034.955
3467,Modding By Kaupenjoe: Forge Modding for Minecraft 1.18.1,Kaupenjoe (Nico),Learn Minecraft Modding with Forge and Java. Beginner Friendly Introduction to Java and Minecraft Modding with Forge!,15,All Levels,1034.955,1439.955
2721,The Complete Android Oreo and Nougat App Tutorials,Smartherd Developers,This course is designed for Android enthusiast’s to earn valuable skills of its usage and application from scratch.,17,All Levels,1034.955,5399.955
4298,Android App Development - Complete Course,Amir J,Become an Android App Developer,31,All Levels,1214.955,5849.955
2720,What is Data Science?,Sai Acuity Institute of Learning Pvt Ltd Enabling Learning Through Insight!,Build your mathematics and statistics foundations strongly and ensure your Data science fundamentals are in place!,4,All Levels,899.955,1034.955
774,MySQL Database Administration: Beginner SQL Database Design,"Maven Analytics, John Pauler",Learn Database Design with MySQL Workbench. SQL DBA for Beginners: A Relational Database Management System Introduction.,7,All Levels,1214.955,5849.955
4441,The Complete MERN Stack Development course 2021,Mohammed Khan,Learn everything about MERN stack and make a social networking website,27,All Levels,1214.955,3599.955
2824,Cucumber Framework with Selenium Webdriver and Java,Rahul Singh Rathore,Learn Behavior-driven development with Java and Webdriver from scratch,18,All Levels,1214.955,2159.955
1247,Game Physics - Introducing Gravitation & Rotation in Unity,Ben Tristem,Step-by-step tutorial on how to create a basic rigid body motion physics from scratch. Taught in C# using Unity 3D free.,5,Intermediate,899.955,1034.955
1821,Understanding CouchDB 3: Learn Basic & Advanced NoSQL Skills,Gregory (Mad Pink) Miller,Learn this NoSQL Database and Go From Beginner to Advanced with CouchDB,7,All Levels,1214.955,5849.955
303,Build+Deploy+Test with Jenkins 2.0,Karthik KK,Learn Jenkins 2.0 for end-to-end testing of applications,6,All Levels,1439.955,0
633,Java for Beginners - Learn all the Basics of Java,Yassin Marco,Learn Java programming with various java projects- Understand key Java elements and be able to create basic java apps,5,Beginner,1214.955,2924.955
1990,Git by Example,"Jose Salvatierra, Teclado by Jose Salvatierra","Learn Git for teamwork and error control, in the terminal and a visual interface",3,Intermediate,1034.955,2384.955
3656,Introduction to T-SQL for Data Analysts,Steve Fox,"In 60 minutes, learn 30 of the most important Transact-SQL (T-SQL)  tasks that data analysts need to perform",1,Beginner,899.955,1034.955
4474,"Create Shopify App - Master Shopify CLI, App Bridge, Polaris",Icaro Lavrador,"Learn Shopify App dev with React, Next.js, Node.js, Polaris, Shopify ScriptTag, Shopify Rest and GraphQL, App Bridge",5,Intermediate,1439.955,7199.955
123,Javascript for Beginners Learn by Doing Practical Exercises,"Edwin Diaz, Coding Faculty Solutions",JavaScript for Beginners : Work closely with me doing exercises & learn more. I make Javascript easy for you guaranteed.,4,All Levels,1034.955,3239.955
4988,Swift - The Ultimate Guide To Mac and iOS Development,Frahaan Hussain,"Learn how to use Swift, a language that is created by the world's largest company ""Apple"".",1,All Levels,2789.955,0
4486,A Full Introduction to C++ with Objects,Matthew Fried,C++ Beginner Course with Objects - Including Arrays,22,Beginner,1034.955,0
3827,Introduction to Python 3,Anshuman Kanetkar,"Learn & master Python3, the latest version of the Python Programming Language, from basic fundamentals to advanced usage",6,Beginner,1034.955,4499.955
1949,Bluetooth Low Energy (BLE)  From  Ground Up™,"Israel Gbati, BHM Engineering Academy",Build BLE Firmware for Microcontrollers. Practices on STM32 boards.,15,All Levels,1214.955,2159.955
3815,Machine Learning Guide: Learn Machine Learning Algorithms,Grid Wire,Machine Learning: A comprehensive guide to machine learning. Learn machine learning algorithms & machine learning tools,1,Beginner,1214.955,5849.955
3081,Beginners Eclipse Java IDE Training Course,Infinite Skills,Learn how to create Java applications using the Eclipse Integrated Development Environment,4,All Levels,1034.955,2159.955
2030,Learn Cloud Computing from Scratch,"Eduonix Learning Solutions, Eduonix-Tech .",A Quick Introduction to Cloud Computing Technologies and Ecosystem,2,All Levels,1034.955,1439.955
4871,Build a Data Analysis Library from Scratch in Python,Ted Petrou,"Immerse yourself in a long, comprehensive project that teaches advanced Python concepts to build an entire library",7,Intermediate,3239.955,0
1838,PySpark Essentials for Data Scientists (Big Data + Python),Layla AI,Learn how to wrangle Big Data for Machine Learning using Python in PySpark taught by an industry expert!,17,All Levels,1034.955,3059.955
1263,AWS Data Architect Bootcamp - 43 Services 500 FAQs 20+ Tools,Siddharth Mehta,"AWS Databases, EMR, SageMaker, IoT,  Redshift, Glue, QuickSight, RDS, Aurora, DynamoDB, Kinesis, Rekognition & much more",30,All Levels,1214.955,5849.955
1052,Learn Enterprise WPF with XAML from Scratch,Engineer Spock,Windows Presentation Foundation tutorial: create powerful Windows apps with rich UI on WPF platform + Intro to MVVM,5,All Levels,1439.955,2159.955
2831,PostgreSQL v12 Database Administration  on Win/Linux- Part 2,Sadiq Basha,"Comprehensive Guide to PostgreSQL v12 Database Replication :  Walk-in a Beginner, Walk-Out an Expert",6,All Levels,1214.955,1574.955
742,Learn Cucumber BDD From Scratch+ Automation Framework Design,Dezlearn Education,"Highest Rated Course on Cucumber BDD! Learn Cucumber with Java, Maven, JUnit, Selenium WebDriver, Page Object Model.",4,All Levels,1034.955,2699.955
875,Unity Multiplayer: Intermediate C# Coding & Networking,"GameDev.tv Team, Rick Davidson, Nathan Farrer (aka Dapper Dino)","Create online multiplayer games in Unity using Mirror. Tutorials cover client-server model, LAN, using Steam, and more.",11,Intermediate,1439.955,7199.955
2269,"React, React Redux and Redux Saga - Master React State/Hooks",Icaro Lavrador,"Use React, React Redux and Redux Saga, and master React Hooks and State Management with asynchronies call in React Redux",7,All Levels,1214.955,6299.955
995,"Docker, From Zero To Hero: Become a DevOps Docker Master",Ricardo Andre Gonzalez Gomez,Become a Docker DevOps Master by learning from scratch the technology that is changing the world with containers!,10,All Levels,1034.955,3374.955
3543,Gatsby JS | Build a personal blog using gatsbyJS,Tech Vista,Learn Gatsby JS and GraphQL to increase your knowledge in modern web development.,5,All Levels,899.955,1034.955
4917,Webpack 1 & 2 - The Complete Guide,Nelson Jamal,Master Webpack Once and For All,6,All Levels,1889.955,0
3612,The Software Development Process - The Complete Course,Daniele Protti,"Learn how to select the right software development model and process, the tools and resources for your software projects",23,All Levels,1439.955,5399.955
1106,Complete Linear Regression Analysis in Python,Start-Tech Academy,"Linear Regression in Python| Simple Regression, Multiple Regression, Ridge Regression, Lasso and subset selection also",7,All Levels,899.955,1034.955
2607,How To Make A Wordpress Website -Elementor Page Builder,Darrel Wilson,Learn How To Create an AMAZING Wordpress Website! Master Wordpress and Elementor Page Builder!,3,Beginner,899.955,1034.955
465,React and Typescript: Build a Portfolio Project,Stephen Grider,Expand your portfolio of projects by building a complex app with the latest web technologies.,29,All Levels,1214.955,6299.955
115,Bootstrap 4 From Scratch With 5 Projects,Brad Traversy,Master Bootstrap 4 and build 5 real world themes while learning HTML5 semantics & CSS3,11,All Levels,1439.955,3824.955
4390,The Complete Beginner's guide to LabView Programming,Janos Gulacsy,"A-Z Course, that covers all the fundamentals to get you started in the realm of Labview programming",2,All Levels,1034.955,1214.955
1146,The Complete SQL Course 2021: Become a MYSQL Master,Web Coding,This complete SQL bootcamp will take you from beginner to master,3,All Levels,899.955,1034.955
4294,100+ Exercises - Python - Data Science - NumPy - 2022,"Paweł Krakowiak, takeITeasy Academy",Improve your Python programming and data science skills and solve over 100 exercises in NumPy!,1,Beginner,899.955,1034.955
1948,Data Structures and Algorithms In Python,Deepali Srivastava,Data Structures and Algorithms in Python using Python DSA Data Structures DSA Leetcode Python Data Structures Algorithms,10,All Levels,1214.955,3824.955
4490,Test Your C Programming Skills & Become Expert in C,LOGAKRISHNAN N,Become Master In C,135,Current price: E£229.99,1439.955,0
4278,"Unity 3D 2017 - Build , program & publish Crossy Road game",Yohann Taieb,Step by step video lessons to create and publish a 3D 8 bit art game like Crossy Road to the app stores. using Unity3D,6,All Levels,1214.955,5849.955
3161,Working with Concurrency in Go (Golang),Trevor Sawler,Learn the advantages and pitfalls of concurrent programming with the Go programming language,9,Intermediate,1034.955,1889.955
411,React JS- Complete Guide for Frontend Web Development [2022],"EdYoda Digital University, Qaifi Khan, Mavludin Abdulkadirov","Become an expert React JS Developer. Learn HTML, CSS, JavaScript, ES6, React JS and jQuery.",22,All Levels,1214.955,3239.955
4478,Learn Adobe Brackets Free open source code editor,Laurence Svekis,Brackets is an open source text editor this course will show you what you can do with it,1,Beginner,1034.955,5399.955
3304,Core Data in iOS,Mohammad Azam,"Covers MVVM, SwiftUI, CloudKit",10,All Levels,1439.955,6299.955
1581,SQL Server Administration: (SQL Server Integration Services),Raphael Asghar,Learn how to create SSIS packages that allow migration of data from source to destination,5,Beginner,899.955,1034.955
2017,Master Bootstrap 5 with 6 projects and Sass customization,Jeppe Schaumburg Jensen,"Master all parts of Bootstrap 5 and customization with Sass using Learning Kit, coding exercises, quizzes and much more.",21,All Levels,1439.955,6299.955
4377,Learn Codeigniter Step by Step :Beginners Guide,Franckk John,Learn Php Codeigniter and understand working with MVC and HMVC,11,All Levels,1034.955,1214.955
2378,Create your own UBER App with Flutter & Firebase Course,Coding Cafe,Flutter & Firebase by Google - Build iOS & Android Taxi Ride Sharing Application like inDriver & OLA Clone Application,17,All Levels,1439.955,2159.955
644,Master Laravel 8 for Beginners & Intermediate,"Piotr Jura | 35,000+ Enrollments",Get from zero to proficiency in the Laravel Framework! Course for beginners and intermediate students!,33,All Levels,1439.955,2384.955
4866,SwiftUI Cookbook - Over 100 Recipes for Building iOS Apps,Mohammad Azam,"A problem focused approach for learning SwiftUI to build iOS, macOS, watchOS and tvOS apps",11,All Levels,1214.955,5849.955
1787,ASP.NET Core - SOLID and Clean Architecture,Trevoir Williams,"Create a SOLID and testable ASP.NET Core Application using CQRS, Mediator Pattern and clean architecture.",8,All Levels,1214.955,3824.955
618,Advanced Scala and Functional Programming | Rock the JVM,Daniel Ciocîrlan,"For Scala developers: become a top level Scala programmer so you can rock Spark, Akka, Cats or any Scala tool!",13,Expert,1214.955,2159.955
1378,Data Structures and Algorithms In C#,Deepali Srivastava,Data Structures and Algorithms in C# Using DSA C# Data Structures Algorithms DSA Leetcode C# Data Structures Algorithms,10,All Levels,1214.955,3824.955
3869,iOS 11 & Objective-C - Complete Developer Course,Aaron Caines,A Complete iOS 11 and Xcode 9 Course with Objective-C,25,Beginner,1034.955,3239.955
4314,OpenAPI (Swagger) Specification for Software Developers,Praveenkumar Bouna,"A guide to learning OpenAPI (Swagger) Specification for highly productive API design, documentation, development, & test",3,Beginner,1214.955,3239.955
4674,"Java 8 bootcamp (Java8, Collections, JDBC, MySQL, Servlets)",Shrirang Korde,Java Hands-on development,16,Beginner,1214.955,1439.955
4202,Developing Smart contracts with Solidity,Demeter Interactive,Learn how to develop smart contracts and DApps on the Ethereum Network using solidity.,3,All Levels,1214.955,2924.955
4805,Learn Full stack development with Django and react,Igneus Technologies,"Let's build a complete tshirt selling store with payment gateway, Django 3 and modern React js with hooks",14,All Levels,899.955,1034.955
3223,Learn Python and Artificial Intelligence (AI) Coding Tools,"Srinidhi Ranganathan, Saranya Srinidhi",An amazing course focussed on Python and Artificial Intelligence Coding Tools in 2022,1,Beginner,899.955,1034.955
4374,SQL and Transact-SQL  (T-SQL)  For Beginners,Bluelime Learning Solutions,Learn SQL and T-SQL From Scratch and execute queries on SQL Server,2,Beginner,1214.955,2159.955
3373,"What's New in C# 6, C# 7 and Visual Studio 2017",Engineer Spock,"Learn new features of C# 6, C# 7 and Visual Studio 2017 on practical examples",1,All Levels,899.955,1034.955
2306,Learn Python: The Complete Python Automation Course!,"Avinash Jain, The Codex","Learn all about Python Automation from Web Scraping and Browser Automation to Excel, Word and GUI Automation",5,All Levels,1214.955,3239.955
387,Object Oriented PHP & MVC,Brad Traversy,Build a custom object oriented PHP MVC framework and then build an application with it,6,Intermediate,1214.955,2789.955
3285,Create Dynamic Forms HTML CSS JavaScript and jQueryUI,Laurence Svekis,Guide to accessing form content and utilizing the data within jQuery and JavaScript code,4,Beginner,1214.955,1574.955
4097,Pandas Masterclass 2022: Advanced Data Analysis with Pandas,Data Is Good Academy,"Master Pandas library to Analyze, Manipulate & Visualize Big Data. Data Analysis with Pandas using Multiple Projects",9,All Levels,899.955,1034.955
4023,Back to School Web Development and Programming Bundle,John Bura,This course has 42 hours of content!,44,Beginner,1214.955,6299.955
1100,Automation with Ansible Playbooks - Hands On !!,Shikhar Verma • 60k+ Students Worldwide,This course introduces Ansible to the absolute beginners & System Admins to enhance skills towards Ansible.,9,All Levels,1214.955,1439.955
4506,3Ds Max Game Modeling: Complete 3D Modeling in 3Ds Max,Marcus - 3D Modeling in 3Ds Max,3D Modeling in 3Ds Max: Create 3D game assets using 3Ds Max. Learn 3Ds Max. Start 3D modeling in 3Ds Max. 3D modeling.,10,All Levels,1214.955,6299.955
2084,Quality Assurance Mastery - Manual Software Testing,Victor Gorinov,Become Quality Assurance Engineer as a Complete Beginner. QA Masterclass for Junior QA Engineers.,2,Beginner,1214.955,6299.955
828,Learn Blockchain By Building Your Own In JavaScript,Eric Traub,Code out your very own Blockchain and decentralized network in the JavaScript programming language.,8,Intermediate,1439.955,5849.955
3983,Learn Top Ten PHP FrameWorks By Building Projects,"Eduonix Learning Solutions, Eduonix-Tech .",An unique course which covers the ten most popular PHP frameworks and help you learn them by building projects,17,All Levels,1034.955,2384.955
122,Appium -Mobile Testing (Android/IOS) from Scratch+Frameworks,Rahul Shetty,[LATEST VERSION 2.0] Master on Mobile Apps Automation Testing from basics to Framework CI/CD with real time examples,25,All Levels,1439.955,6299.955
904,"Build an app with React, Redux and Firestore from scratch",Neil Cummings,"Learn how to build a web app with React, Redux and Firestore from beginning to publishing",24,Beginner,1439.955,7199.955
4175,Learning ASP.NET Web API,Packt Publishing,Accelerate your skills to build a RESTful Web API with ASP.NET Core,3,Beginner,1214.955,2699.955
876,Angular 2+ with Typescript - Essential Training,Patrick Schroeder,"Learn Angular 2 (or 4) from the ground up | This course combines a Project, Slides and Quizzes | Perfect for beginners",3,Beginner,1214.955,6299.955
3688,The Data Bootcamp: Transform your Data using dbt™,Vantage Data,"Learn dbt™ from scratch. Build data models, perform testing, generate documents & become an all rounded Data Engineer!",4,Beginner,899.955,1034.955
3048,So you think you know JavaScript?,"3D BUZZ Programming and Digital Art training, Nelson LaQuet",What every intermediate and advanced developer needs to know!,6,All Levels,1214.955,2159.955
3222,Gatsby JS & Firebase: HYBRID Gatsby realtime + static sites,Tom Phillips,"Build Gatsby JS static sites with realtime firestore, cloud functions, storage, auth, Gatsby + React hooks & GraphQL!",5,All Levels,899.955,1034.955
3662,Learn and Understand Building Modern iOS Apps [2021],Bennett Lee,Learn from USC professor on how to build modern iOS apps with the latest Xcode 11 and Swift 5,16,All Levels,1214.955,6299.955
4231,Question Generation using Natural Language processing,Ramsri Golla,"Auto generate assessments in edtech like MCQs, True/False, Fill-in-the-blanks etc using state-of-the-art NLP techniques",5,Intermediate,1574.955,0
2496,Unity 5: Lighting Fundamentals,Jesse Ryan McAdam,"This course takes a look and new and existing lighting features in ""Unity 5"" from the perspective of a novice student.",2,All Levels,1034.955,1439.955
2820,React for Absolute Beginners,"Eduonix Learning Solutions, Eduonix-Tech ., Samy Eduonix",The complete guide to professional app development in React.,5,Beginner,1214.955,3239.955
635,Master Ethereum & Solidity Programming From Scratch in 2022,"Andrei Dumitrescu, Crystal Mind Academy","Ethereum & Solidity Programming For Beginners. Build 5 Hands-On Smart Contracts: Token,ICO,Lottery,Auction,Crowdfunding",9,All Levels,1439.955,3239.955
4038,"Decision Trees, Random Forests, Bagging & XGBoost: R Studio",Start-Tech Academy,"Decision Trees and Ensembling techinques in R studio. Bagging, Random Forest, GBM, AdaBoost & XGBoost in R programming",6,All Levels,899.955,1034.955
